Time    Activity  	Sleep Status
289.0m     0.0    0
290.0m     2.0    0
291.0m     0.0    0
292.0m     0.0    0
293.0m     0.0    0
294.0m     0.0    0
295.0m     0.0    0
296.0m     226.0    1
297.0m     246.0    1
298.0m     2.0    1
299.0m     1.0    0
300.0m     1.0    0
301.0m     2.0    0
302.0m     1.0    0
303.0m     1.0    0
304.0m     1.0    0
305.0m     1.0    0
306.0m     1.0    0
307.0m     1.0    0
308.0m     2.0    0
309.0m     1.0    0
310.0m     2.0    0
311.0m     21.0    0
312.0m     101.0    0
313.0m     1.0    0
314.0m     1.0    0
315.0m     1.0    0
316.0m     29.0    0
317.0m     541.0    1
318.0m     81.0    1
319.0m     2.0    0
320.0m     2.0    0
321.0m     2.0    0
322.0m     2.0    0
323.0m     3.0    0
324.0m     2.0    0
325.0m     3.0    0
326.0m     2.0    0
327.0m     2.0    0
328.0m     3.0    0
329.0m     3.0    0
330.0m     3.0    0
331.0m     2.0    0
332.0m     3.0    0
333.0m     19.0    0
334.0m     234.0    1
335.0m     8.0    1
336.0m     2.0    0
337.0m     2.0    0
338.0m     1.0    0
339.0m     227.0    1
340.0m     154.0    1
341.0m     2.0    1
342.0m     2.0    0
343.0m     1.0    0
344.0m     2.0    0
345.0m     2.0    0
346.0m     2.0    0
347.0m     2.0    0
348.0m     2.0    0
349.0m     2.0    0
350.0m     2.0    0
351.0m     2.0    0
352.0m     2.0    0
353.0m     1.0    0
354.0m     460.0    1
355.0m     143.0    1
356.0m     2.0    0
357.0m     2.0    0
358.0m     25.0    0
359.0m     168.0    1
360.0m     1.0    1
361.0m     0.0    0
362.0m     1.0    0
363.0m     1.0    0
364.0m     1.0    0
365.0m     1.0    0
366.0m     7.0    0
367.0m     45.0    0
368.0m     0.0    0
369.0m     0.0    0
370.0m     6.0    0
371.0m     0.0    0
372.0m     0.0    0
373.0m     0.0    0
374.0m     0.0    0
375.0m     0.0    0
376.0m     0.0    0
377.0m     0.0    0
378.0m     0.0    0
379.0m     0.0    0
380.0m     0.0    0
381.0m     0.0    0
382.0m     78.0    0
