Time    Activity  	Sleep Status
289.0m     0.0    0
290.0m     0.0    0
291.0m     0.0    0
292.0m     0.0    0
293.0m     0.0    0
294.0m     0.0    0
295.0m     0.0    0
296.0m     3.0    0
297.0m     2.0    0
298.0m     0.0    0
299.0m     0.0    0
300.0m     0.0    0
301.0m     22.0    0
302.0m     0.0    0
303.0m     0.0    0
304.0m     0.0    0
305.0m     0.0    0
306.0m     0.0    0
307.0m     0.0    0
308.0m     0.0    0
309.0m     0.0    0
310.0m     0.0    0
311.0m     18.0    0
312.0m     0.0    0
313.0m     0.0    0
314.0m     0.0    0
315.0m     0.0    0
316.0m     0.0    0
317.0m     0.0    0
318.0m     0.0    0
319.0m     0.0    0
320.0m     0.0    0
321.0m     0.0    0
322.0m     0.0    0
323.0m     0.0    0
324.0m     0.0    0
325.0m     0.0    0
326.0m     0.0    0
327.0m     0.0    0
328.0m     0.0    0
329.0m     0.0    0
330.0m     0.0    0
331.0m     0.0    0
332.0m     0.0    0
333.0m     0.0    0
334.0m     0.0    0
335.0m     0.0    0
336.0m     0.0    0
337.0m     0.0    0
338.0m     0.0    0
339.0m     0.0    0
340.0m     37.0    0
341.0m     0.0    0
342.0m     0.0    0
343.0m     0.0    0
344.0m     0.0    0
345.0m     0.0    0
346.0m     0.0    0
347.0m     0.0    0
348.0m     0.0    0
349.0m     0.0    0
350.0m     0.0    0
351.0m     0.0    0
352.0m     0.0    0
353.0m     0.0    0
354.0m     0.0    0
355.0m     0.0    0
356.0m     0.0    0
357.0m     0.0    0
358.0m     0.0    0
359.0m     0.0    0
360.0m     0.0    0
361.0m     0.0    0
362.0m     0.0    0
363.0m     0.0    0
364.0m     0.0    0
365.0m     0.0    0
366.0m     0.0    0
367.0m     0.0    0
368.0m     0.0    0
369.0m     0.0    0
370.0m     0.0    0
371.0m     0.0    0
372.0m     0.0    0
373.0m     0.0    0
374.0m     0.0    0
375.0m     49.0    0
376.0m     2.0    0
377.0m     0.0    0
378.0m     0.0    0
379.0m     0.0    0
380.0m     0.0    0
381.0m     0.0    0
382.0m     0.0    0
383.0m     0.0    0
384.0m     0.0    0
385.0m     0.0    0
386.0m     0.0    0
387.0m     0.0    0
388.0m     0.0    0
389.0m     0.0    0
390.0m     0.0    0
391.0m     0.0    0
392.0m     0.0    0
393.0m     34.0    0
394.0m     4.0    0
395.0m     0.0    0
396.0m     0.0    0
397.0m     0.0    0
398.0m     0.0    0
399.0m     0.0    0
400.0m     0.0    0
401.0m     0.0    0
402.0m     0.0    0
403.0m     112.0    0
404.0m     0.0    0
405.0m     0.0    0
406.0m     0.0    0
407.0m     0.0    0
408.0m     0.0    0
409.0m     0.0    0
410.0m     0.0    0
411.0m     0.0    0
412.0m     0.0    0
413.0m     31.0    0
414.0m     0.0    0
415.0m     0.0    0
416.0m     0.0    0
417.0m     16.0    0
418.0m     0.0    0
419.0m     16.0    0
420.0m     0.0    0
421.0m     0.0    0
422.0m     0.0    0
423.0m     0.0    0
424.0m     0.0    0
425.0m     0.0    0
426.0m     0.0    0
427.0m     0.0    0
428.0m     0.0    0
429.0m     14.0    0
430.0m     0.0    0
431.0m     0.0    0
432.0m     112.0    0
433.0m     34.0    0
434.0m     0.0    0
435.0m     1.0    0
436.0m     0.0    0
437.0m     0.0    0
438.0m     3.0    0
439.0m     1.0    0
440.0m     0.0    0
441.0m     0.0    0
442.0m     0.0    0
443.0m     0.0    0
444.0m     26.0    0
445.0m     36.0    0
446.0m     0.0    0
447.0m     136.0    0
448.0m     0.0    0
449.0m     0.0    0
450.0m     92.0    0
451.0m     47.0    0
452.0m     0.0    0
453.0m     0.0    0
454.0m     0.0    0
455.0m     0.0    0
456.0m     0.0    0
457.0m     0.0    0
458.0m     0.0    0
459.0m     0.0    0
460.0m     0.0    0
461.0m     0.0    0
462.0m     0.0    0
463.0m     0.0    0
464.0m     5.0    0
465.0m     0.0    0
466.0m     1.0    0
467.0m     0.0    0
468.0m     0.0    0
469.0m     0.0    0
470.0m     0.0    0
471.0m     0.0    0
472.0m     0.0    0
473.0m     0.0    0
474.0m     0.0    0
475.0m     0.0    0
476.0m     0.0    0
477.0m     0.0    0
478.0m     0.0    0
479.0m     0.0    0
480.0m     0.0    0
481.0m     0.0    0
482.0m     0.0    0
483.0m     0.0    0
484.0m     0.0    0
485.0m     0.0    0
486.0m     0.0    0
487.0m     0.0    0
488.0m     0.0    0
489.0m     0.0    0
490.0m     0.0    0
491.0m     0.0    0
492.0m     0.0    0
493.0m     0.0    0
494.0m     0.0    0
495.0m     0.0    0
496.0m     0.0    0
497.0m     0.0    0
498.0m     0.0    0
499.0m     0.0    0
500.0m     0.0    0
501.0m     0.0    0
502.0m     0.0    0
503.0m     0.0    0
504.0m     0.0    0
505.0m     0.0    0
506.0m     0.0    0
507.0m     0.0    0
508.0m     13.0    0
509.0m     6.0    0
510.0m     3.0    0
511.0m     0.0    0
512.0m     0.0    0
513.0m     3.0    0
514.0m     0.0    0
515.0m     0.0    0
516.0m     0.0    0
517.0m     0.0    0
518.0m     0.0    0
519.0m     0.0    0
520.0m     0.0    0
521.0m     0.0    0
522.0m     0.0    0
523.0m     0.0    0
524.0m     0.0    0
525.0m     0.0    0
526.0m     0.0    0
527.0m     0.0    0
528.0m     0.0    0
529.0m     0.0    0
530.0m     0.0    0
531.0m     0.0    0
532.0m     0.0    0
533.0m     0.0    0
534.0m     0.0    0
535.0m     2.0    0
536.0m     46.0    0
537.0m     56.0    0
538.0m     0.0    0
539.0m     0.0    0
540.0m     0.0    0
541.0m     0.0    0
542.0m     0.0    0
543.0m     0.0    0
544.0m     0.0    0
545.0m     0.0    0
546.0m     0.0    0
547.0m     0.0    0
548.0m     0.0    0
549.0m     0.0    0
550.0m     0.0    0
551.0m     1.0    0
552.0m     19.0    0
553.0m     0.0    0
554.0m     0.0    0
555.0m     0.0    0
556.0m     5.0    0
557.0m     144.0    0
558.0m     17.0    1
559.0m     0.0    0
560.0m     0.0    0
561.0m     0.0    0
562.0m     0.0    0
563.0m     0.0    0
564.0m     0.0    0
565.0m     0.0    0
566.0m     0.0    0
567.0m     0.0    0
568.0m     0.0    0
